mae,rmse,mape,window,train_start,train_end,test_start,test_end,train_rows,test_rows
1.6709067241905717,2.111681277811106,44.03710382212245,1,2013-01-01,2014-12-31,2015-01-01,2015-01-30,728,30
1.6756818519065393,2.2191684544627623,74.02466503736369,2,2013-01-01,2015-03-31,2015-04-01,2015-04-30,818,30
1.7442933497168203,2.24163402047371,62.68144539182805,3,2013-01-01,2015-06-29,2015-06-30,2015-07-29,908,30
2.0077298435599245,2.5140973997857783,78.01658226293854,4,2013-01-01,2015-09-27,2015-09-28,2015-10-27,998,30
2.631043482745939,3.6619847480972285,67.83919670891308,5,2013-01-01,2015-12-26,2015-12-27,2016-01-25,1087,30
2.2644459081009676,2.923588352738957,79.38329295514063,6,2013-01-01,2016-03-25,2016-03-26,2016-04-24,1177,30
1.9162875324085156,2.3914702283688882,69.08408912670286,7,2013-01-01,2016-06-23,2016-06-24,2016-07-23,1267,30
2.17000734846397,2.6317671792604567,83.25625559381764,8,2013-01-01,2016-09-21,2016-09-22,2016-10-21,1357,30
2.206918745064915,2.811357681135742,75.44632571803717,9,2013-01-01,2016-12-20,2016-12-21,2017-01-19,1447,29
2.3597516777436898,3.10141052623358,59.26795454341991,10,2013-01-01,2017-03-20,2017-03-21,2017-04-19,1536,30
2.327218450085775,2.992289923626822,73.25230720959419,11,2013-01-01,2017-06-18,2017-06-19,2017-07-18,1626,30
