mae,rmse,mape,window,train_start,train_end,test_start,test_end,train_rows,test_rows
1.8086343535196956,2.2234107145251487,49.23161525759057,1,2013-01-01,2014-12-31,2015-01-01,2015-01-30,728,30
1.5794856424246149,2.1843747331506083,74.00870683282922,2,2013-01-01,2015-03-31,2015-04-01,2015-04-30,818,30
1.623395746259194,2.105762657005014,71.23431122874034,3,2013-01-01,2015-06-29,2015-06-30,2015-07-29,908,30
1.8260673932359472,2.467557009555073,71.30129546416671,4,2013-01-01,2015-09-27,2015-09-28,2015-10-27,998,30
2.399151966806987,3.4602882736828704,54.76154513674811,5,2013-01-01,2015-12-26,2015-12-27,2016-01-25,1087,30
1.9659966321145175,2.6744249366412993,59.81030950901304,6,2013-01-01,2016-03-25,2016-03-26,2016-04-24,1177,30
1.928335294420664,2.3455490922569755,77.51857313828403,7,2013-01-01,2016-06-23,2016-06-24,2016-07-23,1267,30
2.0313972531730866,2.569771227681764,78.38384470115497,8,2013-01-01,2016-09-21,2016-09-22,2016-10-21,1357,30
2.6522653024305547,3.029304971082213,110.8177624941332,9,2013-01-01,2016-12-20,2016-12-21,2017-01-19,1447,29
2.101945076212895,2.715151127694401,52.29744832016575,10,2013-01-01,2017-03-20,2017-03-21,2017-04-19,1536,30
2.357485762511302,2.9553289746739115,78.98278900807732,11,2013-01-01,2017-06-18,2017-06-19,2017-07-18,1626,30
